Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01 00:00:00+08:00,779.239990234375,792.1900024414062,778.4000244140625,790.5599975585938,790.5599975585938,60007200,0.0,0.0
2003-12-02 00:00:00+08:00,793.52001953125,797.969970703125,792.6799926757812,797.7999877929688,797.7999877929688,56750600,0.0,0.0
2003-12-03 00:00:00+08:00,797.510009765625,797.510009765625,793.3200073242188,795.5700073242188,795.5700073242188,48928600,0.0,0.0
2003-12-04 00:00:00+08:00,795.3300170898438,795.4099731445312,786.780029296875,790.1300048828125,790.1300048828125,44134400,0.0,0.0
2003-12-05 00:00:00+08:00,789.4600219726562,790.030029296875,786.8800048828125,786.97998046875,786.97998046875,50002600,0.0,0.0
2003-12-08 00:00:00+08:00,787.0499877929688,787.6099853515625,782.4400024414062,784.030029296875,784.030029296875,38266200,0.0,0.0
2003-12-09 00:00:00+08:00,784.3099975585938,789.4600219726562,784.3099975585938,788.469970703125,788.469970703125,51562400,0.0,0.0
2003-12-10 00:00:00+08:00,787.8699951171875,794.9000244140625,787.7000122070312,794.510009765625,794.510009765625,61223000,0.0,0.0
2003-12-11 00:00:00+08:00,793.4400024414062,793.5999755859375,786.7000122070312,793.5999755859375,793.5999755859375,93378800,0.0,0.0
2003-12-12 00:00:00+08:00,793.780029296875,793.8300170898438,789.5999755859375,791.9400024414062,791.9400024414062,66333000,0.0,0.0
2003-12-15 00:00:00+08:00,792.9000244140625,795.3099975585938,787.22998046875,788.010009765625,788.010009765625,47706400,0.0,0.0
2003-12-16 00:00:00+08:00,788.22998046875,789.1900024414062,780.0700073242188,782.0800170898438,782.0800170898438,48125800,0.0,0.0
2003-12-17 00:00:00+08:00,782.780029296875,783.9500122070312,773.469970703125,775.1300048828125,775.1300048828125,63551200,0.0,0.0
2003-12-18 00:00:00+08:00,774.8300170898438,777.5,764.9000244140625,766.5900268554688,766.5900268554688,69332200,0.0,0.0
2003-12-19 00:00:00+08:00,767.6500244140625,770.6300048828125,767.2000122070312,769.75,769.75,43368800,0.0,0.0
2003-12-22 00:00:00+08:00,769.7000122070312,775.2999877929688,769.7000122070312,775.2999877929688,775.2999877929688,39157600,0.0,0.0
