Date,S&P 500
2004,8.993452410946755
2005,3.0010226581274946
2006,13.619431738260701
2007,3.5295730663479574
2008,-38.485793060906715
2009,23.45419048834072
2010,12.782713853760175
2011,-0.0031836663936912757
2012,13.40569092662105
2013,29.601249573324353
2014,11.390633786748117
2015,-0.7265997205823549
2016,9.535022667283656
2017,19.419965523287928
2018,-6.2372598496206795
2019,28.878070225158446
2020,16.258923055706177
2021,26.89273866137125
2022,-19.442827203429268
2023,24.230500797629894
2024,23.309002343424012
2025,-3.7011839531486124
